# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2.001
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	1	t637000060_Carboxydothermus_hydrogenoformans	1.15064	1.78913	0	0	1	1
loss	1	t637000316_Syntrophomonas_wolfei	1.37182	2.18027	0	0	1	1
loss	1	N8	0.590671	1.59553	0.632613	1	1	1
loss	1	t647000254_Fusobacterium_nucleatum	1.95686	3.26607	0	0	1	1
loss	1	N16	0.63463	3.21852	0.02794	1	1	1
loss	1	t643886066_Lactobacillus_gasseri	0.0346956	4.47496	0	0	1	1
loss	1	t637000139_Lactobacillus_delbrueckii	0.430732	4.76693	0	0	1	1
loss	1	t648231712_Lactobacillus_salivarius	0.550475	3.97465	0	0	1	1
loss	1	t639633049_Pediococcus_pentosaceus	0.603899	4.10062	0	0	1	1
loss	1	N29	0.562483	4.09665	0.693046	1	1	1
loss	1	t640069333_Streptococcus_pyogenes	0.285074	4.45959	0	0	1	1
loss	1	N39	0.308294	3.06434	0.370072	1	1	1
loss	1	t637000118_Geobacillus_kaustophilus	0.585619	3.37249	0	0	1	1
loss	1	N42	0.36406	3.18689	0.212128	1	1	1
loss	1	t645058812_Staphylococcus_epidermidis	0.195413	3.48955	0	0	1	1
loss	1	t645058811_Staphylococcus_aureus	0.180944	3.44204	0	0	1	1
loss	1	N48	0.797155	2.42846	1.32312	2	1	1
loss	1	N63	0.915237	2.14265	0.168086	1	1	1
loss	1	N65	0.374498	1.63812	0.501396	2	1	1
loss	1	N69	0.538357	0.752929	1.46472	1	1	1
gain	1	N73	0.0732605	2.12312	1.06326	3	1	1
loss	1	t640963015_Bifidobacterium_adolescentis	0.223932	4.19764	0	0	1	1
loss	1	N79	0.254568	3.01693	0.476195	1	1	1
loss	1	t651053059_Propionibacterium_acnes	1.1639	3.4584	0	0	1	1
loss	1	t637000305_Streptomyces_coelicolor	0.0948495	3.51734	0	0	1	1
loss	1	t647000231_Corynebacterium_jeikeium	0.523099	3.76245	0	0	1	1
loss	1	t2511231083_Corynebacterium_diphtheriae	0.507606	4.04915	0	0	1	1
loss	1	t644736345_Corynebacterium_efficiens	0.126728	3.84631	0	0	1	1
loss	1	t637000170_Mycobacterium_leprae	0.215787	3.58065	0	0	1	1
loss	1	t643692028_Mycobacterium_bovis	0.00593893	3.52623	0	0	1	1
loss	1	N95	2.29904	2.78154	0.311435	2	1	1
loss	1	N101	0.596974	1.29345	1.78546	2	1	1
loss	1	t639633033_Leptospira_borgpetersenii	0.0666835	2.88665	0	0	1	1
loss	1	t650716072_Porphyromonas_gingivalis	0.744088	4.06269	0	0	1	1
loss	1	t637000026_Bacteroides_thetaiotaomicron	0.10677	3.90582	0	0	1	1
loss	1	N113	1.7534	2.57358	0.771851	2	1	1
loss	1	N122	0.26541	1.83374	0.16288	1	1	1
loss	1	t637000145_Lawsonia_intracellularis	0.957656	3.54994	0	0	1	1
loss	1	N127	0.0698325	0.944067	1.21131	1	1	1
loss	1	N129	0.146015	0.888895	1.2959	1	1	1
loss	1	N139	0.421677	3.55913	0.191076	1	1	1
gain	1	t637000258_Shewanella_oneidensis	0.0749601	3.85532	0	0	1	1
loss	1	N146	0.11221	3.39998	0.545832	2	1	1
gain	1	t642555155_Salmonella_enterica	0.19506	4.62851	0	0	1	1
loss	1	t637000136_Idiomarina_loihiensis	0.804487	3.89995	0	0	1	1
loss	1	t637000217_Pseudoalteromonas_haloplanktis	0.702584	3.84957	0	0	1	1
loss	1	N173	0.072905	2.8578	0.75901	1	1	1
loss	1	t637000249_Saccharophagus_degradans	0.918675	3.5737	0	0	1	1
loss	1	N178	0.242263	2.58169	1.10707	1	1	1
loss	1	t647533188_Nitrosococcus_oceani	0.892659	3.23197	0	0	1	1
loss	1	t637000166_Methylococcus_capsulatus	1.18958	3.64636	0	0	1	1
loss	1	t637000345_Xanthomonas_campestris	0.0172596	4.21394	0	0	1	1
loss	1	t637000349_Xylella_fastidiosa	0.507165	4.67242	0	0	1	1
loss	1	N188	1.00986	3.59044	0.0250739	1	1	1
loss	1	t640069319_Methylibium_petroleiphilum	0.406299	3.57058	0	0	1	1
loss	1	t637000235_Rhodoferax_ferrireducens	0.268313	3.6859	0	0	1	1
loss	1	t639633002_Acidovorax_avenae	0.243049	3.7356	0	0	1	1
loss	1	t651053062_Ralstonia_solanacearum	0.443338	3.46708	0	0	1	1
loss	1	N201	0.102759	3.50889	0.0790192	1	1	1
loss	1	t637000165_Methylobacillus_flagellatus	0.649702	3.19231	0	0	1	1
loss	1	t637000197_Nitrosospira_multiformis	0.294126	3.17452	0	0	1	1
loss	1	t637000196_Nitrosomonas_eutropha	0.151389	3.47273	0	0	1	1
loss	1	N210	0.565073	2.52384	1.19189	2	1	1
loss	1	N221	0.591641	2.76482	0.584242	1	1	1
loss	1	N225	0.111234	2.37641	0.8002	1	1	1
