# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2.001
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	1	t641736249_Clostridium_perfringens	1.22328	2.22814	0	0	1	1
loss	1	t647000254_Fusobacterium_nucleatum	1.95686	3.26607	0	0	1	1
loss	1	t643886066_Lactobacillus_gasseri	0.0346956	4.47496	0	0	1	1
loss	1	t637000139_Lactobacillus_delbrueckii	0.430732	4.76693	0	0	1	1
loss	1	t648231712_Lactobacillus_salivarius	0.550475	3.97465	0	0	1	1
loss	1	t2511231143_Leuconostoc_mesenteroides	1.25553	4.7897	0	0	1	1
loss	1	t650377907_Bacillus_subtilis	1.0327	3.41361	0	0	1	1
loss	1	t640963015_Bifidobacterium_adolescentis	0.223932	4.19764	0	0	1	1
loss	1	t651053059_Propionibacterium_acnes	1.1639	3.4584	0	0	1	1
loss	1	t650716072_Porphyromonas_gingivalis	0.744088	4.06269	0	0	1	1
loss	1	t637000026_Bacteroides_thetaiotaomicron	0.10677	3.90582	0	0	1	1
loss	1	N23	2.16679	2.57358	0.771851	1	1	1
loss	1	N27	0.0750804	4.50853	0.02647	1	1	1
loss	1	t2511231165_Pseudomonas_aeruginosa	1.3654	3.83271	0	0	1	1
loss	2	t641736249_Clostridium_perfringens	1.22328	2.22814	0	0	1	1
loss	2	t647000254_Fusobacterium_nucleatum	1.95686	3.26607	0	0	1	1
loss	2	t637000140_Lactobacillus_johnsonii	0.038327	4.47859	0	0	1	1
loss	2	t639633027_Lactobacillus_brevis	0.442901	4.06706	0	0	1	1
loss	2	N20	3.06882	3.31861	0.587209	1	1	1
loss	2	N26	1.96614	4.43345	0.10155	1	1	1
gain	3	t2511231143_Leuconostoc_mesenteroides	1.25553	4.7897	0	0	1	1
gain	3	t651053041_Lactococcus_lactis	0.589855	4.20859	0	0	1	1
gain	3	t650377907_Bacillus_subtilis	1.0327	3.41361	0	0	1	1
